example_id                                                                           | status | run_time        |
./spec/lib/well_helpers_spec.rb[1:4:1:1]                                             | passed | 0.00323 seconds |
./spec/lib/well_helpers_spec.rb[1:5:1:1]                                             | passed | 0.3149 seconds  |
./spec/lib/well_helpers_spec.rb[1:6:1:1]                                             | passed | 0.00074 seconds |
./spec/lib/well_helpers_spec.rb[1:6:2:1:1]                                           | passed | 0.00078 seconds |
./spec/lib/well_helpers_spec.rb[1:6:2:2:1]                                           | passed | 0.00265 seconds |
./spec/lib/well_helpers_spec.rb[1:7:1:1]                                             | passed | 0.0018 seconds  |
./spec/lib/well_helpers_spec.rb[1:7:2:1]                                             | passed | 0.00558 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:1:1]                                           | passed | 0.00024 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:2:1]                                           | passed | 0.00026 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:3:1]                                           | passed | 0.00026 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:4:1]                                           | passed | 0.00039 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:5:1]                                           | passed | 0.00028 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:6:1]                                           | passed | 0.00055 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:7:1]                                           | passed | 0.0003 seconds  |
./spec/lib/well_helpers_spec.rb[1:8:1:8:1]                                           | passed | 0.00032 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:9:1]                                           | passed | 0.0006 seconds  |
./spec/lib/well_helpers_spec.rb[1:8:1:10:1]                                          | passed | 0.00032 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:11:1]                                          | passed | 0.00029 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:12:1]                                          | passed | 0.00027 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:13:1]                                          | passed | 0.00024 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:14:1]                                          | passed | 0.00026 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:15:1]                                          | passed | 0.00029 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:16:1]                                          | passed | 0.0003 seconds  |
./spec/lib/well_helpers_spec.rb[1:8:1:17:1]                                          | passed | 0.00045 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:18:1]                                          | passed | 0.00023 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:19:1]                                          | passed | 0.00026 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:20:1]                                          | passed | 0.00054 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:21:1]                                          | passed | 0.00024 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:22:1]                                          | passed | 0.00025 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:23:1]                                          | passed | 0.00029 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:24:1]                                          | passed | 0.00026 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:25:1]                                          | passed | 0.00029 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:26:1]                                          | passed | 0.00027 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:27:1]                                          | passed | 0.00051 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:28:1]                                          | passed | 0.0004 seconds  |
./spec/lib/well_helpers_spec.rb[1:8:1:29:1]                                          | passed | 0.00026 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:30:1]                                          | passed | 0.00027 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:31:1]                                          | passed | 0.00026 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:32:1]                                          | passed | 0.00028 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:33:1]                                          | passed | 0.00055 seconds |
./spec/lib/well_helpers_spec.rb[1:8:1:34:1]                                          | passed | 0.00032 seconds |
